beh_mod,beh_def
body_punches_back,body_back
body_punches_lead,body_lead
front_kicks_back,push_kick
front_kicks_lead,teep
high_kicks_back,thai_kick
high_kicks_lead,switch_kick
hook_punches_back,hook_overhand
hook_punches_lead,hook
knee_knees_back,back_knee
knee_knees_lead,lead_knee
low_kicks_back,low_kick_back
low_kicks_lead,low_kick_lead
middle_kicks_back,thai_kick
middle_kicks_lead,switch_kick
straight_punches_back,cross
straight_punches_lead,jab
upper_punches_back,uppercut_back
upper_punches_lead,uppercut_lead
