Observation id	petchmorakot_petchindee_accademy.giorgio_petrosyan									
										
Media file(s)										
										
Player #1	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov									
										
Observation date	2019-05-17 14:55:38									
										
Description	quarter of final of Kickboxing World Grand Prix. Singapore. 									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
47.667	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		r1					POINT
50.158	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		front_middle	kicks	None	None		POINT
61.664	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	back	None		POINT
69.700	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
71.914	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
72.394	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
73.919	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
79.911	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		front_middle	kicks	None	None		POINT
81.929	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
84.685	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
88.679	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
89.683	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
91.431	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
92.430	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
101.429	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
104.682	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	None	None		POINT
108.181	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
109.681	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
111.598	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	None	None		POINT
115.174	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
116.428	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
118.716	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
119.712	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	back	None		POINT
124.182	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
126.932	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
129.178	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
133.430	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	back	None		POINT
140.170	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
141.919	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	landed		POINT
143.430	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
144.178	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
144.684	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
149.183	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
149.926	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
150.174	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
153.430	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
155.680	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		middle_middle	kicks	None	None		POINT
164.668	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	landed		POINT
166.798	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
